27.23	26.51	3.41	24.97	34.17	-23.23	26.39	25.88	1.98	26.05	26.05	-6.31
27.23	26.51	3.41	24.97	34.17	-23.23	26.39	25.88	1.98	26.05	26.05	-6.31
27.23	26.51	3.41	26.39	25.88	1.98	14.77	26.05	-6.21	27.18	26.54	5.04
16.2	28.4	-25.13	28.66	27.12	0.29	17.52	26.54	5.04	27.18	26.54	5.04
16.2	28.4	-25.13	28.66	27.12	0.29	17.52	26.07	-3.65	27.18	26.54	5.04
16.2	28.4	-25.13	28.66	27.12	0.29	17.52	26.07	-3.65	27.18	26.54	5.04
16.2	28.4	-25.13	28.66	27.12	0.29	17.52	26.07	-3.7	27.21	26.54	5.04
16.2	28.4	-25.37	28.63	27.1	0.29	17.52	26.07	-3.7	27.21	26.54	4.54
17.46	28.58	-25.37	28.63	27.1	2.38	12.85	27.63	-6.26	27.21	26.54	4.54
17.46	28.58	-25.37	28.63	27.1	2.38	12.85	27.63	-6.23	26.89	26.46	2.64
20.26	28.58	-25.05	28.48	27.15	0.14	15.57	27.71	-6.23	26.89	26.46	2.64
20.26	28.58	-25.05	28.48	27.15	0.87	16.57	28.05	-6.07	27.02	26.48	4.42
19.88	31.75	-24.98	28.58	27.1	0.87	16.57	28.05	-6.07	27.02	26.48	4.42
19.88	31.75	-24.98	28.58	27.1	0.87	16.57	28.05	-6.07	27.02	26.48	4.42
19.88	31.75	-24.98	28.58	27.1	0.87	16.57	28.05	-6.07	27.02	26.48	4.42
19.88	31.75	-24.98	28.58	27.1	0.87	16.57	28.05	-6.21	27.18	26.54	4.8
27.18	26.54	 4.8	28.66	27.15	2.01	15.04	24.99	-6.21	27.18	26.54	4.8
16.59	28.42	-25.4	28.66	27.15	2.01	15.04	24.99	-6.21	27.18	26.54	4.8
16.59	28.42	-25.4	28.66	27.15	2.01	15.04	24.99	-6.21	27.18	26.54	4.8
16.59	28.42	-25.4	28.66	27.15	2.01	15.04	24.99	-5.94	27.02	26.48	3.35
19.2	31.56	-25.08	28.63	27.12	2.38	15.02	24.99	-5.94	27.02	26.48	3.64
19.43	31.67	-25.08	28.63	27.12	2.38	15.02	24.99	-6.26	27.1	26.51	3.64
19.43	31.67	-25.08	28.63	27.12	2.38	15.02	24.99	-6.26	27.1	26.51	3.64
19.43	31.67	-25.45	28.79	27.07	2.38	15.02	24.99	-6.26	27.1	26.51	3.64
19.43	31.67	-25.45	28.79	27.07	2.38	15.02	24.99	-6.26	27.1	26.51	3.64
19.43	31.67	-25.45	28.79	27.07	2.35	12.91	27.76	-6.47	27.07	26.51	3.74
19.27	31.67	-25.45	28.79	27.07	2.35	12.91	27.76	-6.47	27.07	26.51	3.74
19.27	31.67	-25.53	28.71	27.07	2.35	12.91	27.76	-6.47	27.07	26.51	3.74
19.27	31.67	-25.53	28.71	27.07	2.35	12.91	27.76	-6.47	27.07	26.51	3.74
19.27	31.67	-25.53	28.71	27.07	2.35	12.91	27.76	-6.21	26.42	26.4	5.1
31.38	35.41	-24.98	28.45	27.23	1.53	26.22	29.15	-6.21	26.42	26.4	5.1
31.38	35.41	-24.98	28.45	27.23	2.29	17.41	25.7	-3.44	27.02	26.46	3.29
19.27	31.64	-24.98	28.45	27.23	2.29	17.41	25.7	-3.44	27.02	26.46	3.29
